,label,1hour_prediction,label,2hour_prediction
716,29.0,28.299,21.0,21.786
717,21.0,21.869,13.0,14.623
718,13.0,23.588,8.0,6.668
719,8.0,6.906,6.0,5.993
720,6.0,6.024,1.0,1.287
721,1.0,1.329,2.0,1.767
722,2.0,1.811,3.0,2.746
723,3.0,3.136,17.0,19.187
724,17.0,17.537,25.0,27.268
725,25.0,27.927,27.0,29.445
726,27.0,29.127,35.0,32.959
727,35.0,32.906,29.0,27.27
728,29.0,26.761,17.0,17.855
729,17.0,17.508,22.0,20.869
730,22.0,21.013,34.0,33.22
731,34.0,33.037,26.0,26.808
732,26.0,27.185,29.0,28.367
733,29.0,28.279,28.0,27.966
734,28.0,27.878,31.0,32.451
735,31.0,32.363,43.0,41.862
736,43.0,41.641,32.0,34.578
737,32.0,34.346,32.0,31.443
738,32.0,30.995,27.0,26.603
739,27.0,26.641,33.0,31.172
740,33.0,31.11,25.0,25.025
741,25.0,25.259,19.0,18.16
742,19.0,18.318,6.0,5.989
743,6.0,5.999,2.0,2.939
744,2.0,2.696,4.0,3.238
745,4.0,3.438,0.0,0.193
746,0.0,0.142,3.0,2.862
747,3.0,3.008,23.0,21.898
748,23.0,22.073,25.0,25.988
749,25.0,28.666,34.0,31.225
750,34.0,33.817,28.0,28.272
751,28.0,28.414,28.0,26.798
752,28.0,25.379,22.0,19.644
753,22.0,21.3,19.0,18.994
754,19.0,19.47,29.0,29.85
755,29.0,30.028,23.0,24.441
756,23.0,24.559,30.0,28.464
757,30.0,28.383,27.0,27.36
758,27.0,27.343,29.0,30.128
759,29.0,29.959,42.0,39.833
760,42.0,39.151,35.0,37.092
761,35.0,35.372,34.0,33.386
762,34.0,33.786,27.0,27.005
763,27.0,26.977,28.0,28.224
764,28.0,28.286,26.0,25.713
765,26.0,25.469,14.0,17.405
766,14.0,15.203,7.0,6.517
767,7.0,6.629,3.0,3.124
